,ts_code,name,industry_detail,industry
852,002398.SZ,垒知集团,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建筑材料
853,002399.SZ,海普瑞,医药生物-化学制药-化学原料药,医药生物
854,002400.SZ,省广集团,传媒-营销传播-营销服务,传媒
855,002401.SZ,中远海科,计算机-计算机应用-IT服务,计算机
856,002402.SZ,和而泰,电子-电子制造-电子零部件制造,电子
857,002403.SZ,爱仕达,家用电器-白色家电-小家电,家用电器
858,002404.SZ,嘉欣丝绸,纺织服装-纺织制造-丝绸,纺织服装
859,002405.SZ,四维图新,计算机-计算机应用-软件开发,计算机
860,002406.SZ,远东传动,汽车-汽车零部件Ⅱ-汽车零部件Ⅲ,汽车
861,002407.SZ,多氟多,化工-化学制品-氟化工及制冷剂,化工
862,002408.SZ,齐翔腾达,化工-化学制品-聚氨酯,化工
863,002409.SZ,雅克科技,电子-半导体-半导体材料,电子
864,002410.SZ,广联达,计算机-计算机应用-软件开发,计算机
865,002411.SZ,延安必康,医药生物-化学制药-化学制剂,医药生物
866,002412.SZ,汉森制药,医药生物-中药Ⅱ-中药Ⅲ,医药生物
867,002413.SZ,雷科防务,国防军工-航空装备Ⅱ-航空装备Ⅲ,国防军工
868,002414.SZ,高德红外,电子-其他电子Ⅱ-其他电子Ⅲ,电子
869,002415.SZ,海康威视,电子-电子制造-电子系统组装,电子
870,002416.SZ,爱施德,商业贸易-专业零售-专业连锁,商业贸易
871,002417.SZ,深南股份,计算机-计算机应用-IT服务,计算机
872,002418.SZ,*ST康盛,家用电器-白色家电-家电零部件,家用电器
873,002419.SZ,天虹股份,商业贸易-一般零售-百货,商业贸易
874,002420.SZ,ST毅昌,家用电器-视听器材-彩电,家用电器
875,002421.SZ,达实智能,计算机-计算机应用-IT服务,计算机
876,002422.SZ,科伦药业,医药生物-化学制药-化学制剂,医药生物
877,002423.SZ,中粮资本,非银金融-多元金融Ⅱ-多元金融Ⅲ,非银金融
878,002424.SZ,贵州百灵,医药生物-中药Ⅱ-中药Ⅲ,医药生物
879,002425.SZ,凯撒文化,传媒-互联网传媒-移动互联网服务,传媒
880,002426.SZ,*ST胜利,机械设备-通用机械-机械基础件,机械设备
881,002427.SZ,ST尤夫,化工-化学纤维-涤纶,化工
882,002428.SZ,云南锗业,有色金属-稀有金属-其他稀有小金属,有色金属
883,002429.SZ,兆驰股份,家用电器-视听器材-彩电,家用电器
884,002430.SZ,杭氧股份,机械设备-专用设备-其它专用机械,机械设备
885,002431.SZ,棕榈股份,建筑装饰-园林工程Ⅱ-园林工程Ⅲ,建筑装饰
886,002432.SZ,九安医疗,医药生物-医疗器械Ⅱ-医疗器械Ⅲ,医药生物
887,002433.SZ,太安堂,医药生物-中药Ⅱ-中药Ⅲ,医药生物
888,002434.SZ,万里扬,汽车-汽车零部件Ⅱ-汽车零部件Ⅲ,汽车
889,002435.SZ,长江健康,医药生物-化学制药-化学制剂,医药生物
890,002436.SZ,兴森科技,电子-元件Ⅱ-印制电路板,电子
891,002437.SZ,誉衡药业,医药生物-化学制药-化学制剂,医药生物
892,002438.SZ,江苏神通,机械设备-通用机械-机械基础件,机械设备
893,002439.SZ,启明星辰,计算机-计算机应用-软件开发,计算机
894,002440.SZ,闰土股份,化工-化学制品-纺织化学用品,化工
895,002441.SZ,众业达,电气设备-高低压设备-低压设备,电气设备
896,002442.SZ,龙星化工,化工-橡胶-炭黑,化工
897,002443.SZ,金洲管道,钢铁-钢铁Ⅱ-特钢,钢铁
898,002444.SZ,巨星科技,机械设备-通用机械-其它通用机械,机械设备
899,002445.SZ,*ST中南,传媒-文化传媒-影视动漫,传媒
900,002446.SZ,盛路通信,通信-通信设备-通信传输设备,通信
901,002447.SZ,*ST晨鑫,传媒-互联网传媒-移动互联网服务,传媒
